Студия,Категория,"цена, характеристики, информция и т.д."
ЗАЛ ЧАЙКОВСКИЙ,"Эксклюзив, вишенка на торте)","Будние дни с 00:00 до 12:00 – 5000 р., с 12:00 до 00:00 –5800 р. 
Пятница с 17:00, выходные/праздничные дни - 6400 р.
▪︎ Минимальное время брони — 2 часа
▪︎ Площадь — 163 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Отсутствие проходной системы
"
НИАГАРА,Эксклюзив,"""Будние дни с 00:00 до 12:00 – 5500 р., с 12:00 до 00:00 –6200 р. 
Пятница с 17:00, выходные/праздничные дни - 6800 р.
▪︎ Минимальное время брони — 2 часа
▪︎ Площадь — 98 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
ОАЗИС,Эксклюзив,"""Будние дни с 00:00 до 12:00 – 4200 р., с 12:00 до 00:00 –4800 р. 
Пятница с 17:00, выходные/праздничные дни - 5300 р.
▪︎ Минимальное время брони — 2 часа
▪︎ Площадь — 113 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
2 ЛИКА,Премиум,"""Будние дни с 00:00 до 12:00 – 3900 р., с 12:00 до 00:00 –4500 р. 
Пятница с 17:00, выходные/праздничные дни - 4900 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 68 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
АФРОДИТА,Премиум,"Будние дни с 00:00 до 12:00 – 4200 р., с 12:00 до 00:00 –4800 р. 
Пятница с 17:00, выходные/праздничные дни - 5500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 99 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
КРИПТОН,Премиум,"Будние дни с 00:00 до 12:00 – 3900 р., с 12:00 до 00:00 –4400 р. 
Пятница с 17:00, выходные/праздничные дни - 4800 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 88 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
ЛОФТ РУМ,Премиум,"Будние дни с 00:00 до 12:00 – 4000 р., с 12:00 до 00:00 –4500 р. 
Пятница с 17:00, выходные/праздничные дни - 5000 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 92 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы"
МУЛЕН РУЖ,Премиум,"Будние дни с 00:00 до 12:00 – 4100 р., с 12:00 до 00:00 –4600 р. 
Пятница с 17:00, выходные/праздничные дни - 5200 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 60 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D1 500 — 2 источника
▪︎ Отсутствие проходной системы
"
ПЬЕР,Премиум,"Будние дни с 00:00 до 12:00 – 3800 р., с 12:00 до 00:00 –4200 р. 
Пятница с 17:00, выходные/праздничные дни - 4800 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 68 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
РАЙ,Премиум,"Будние дни с 00:00 до 12:00 – 3900 р., с 12:00 до 00:00 –4500 р. 
Пятница с 17:00, выходные/праздничные дни - 4900 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 86 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D1 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
САТУРН,Премиум,"Будние дни с 00:00 до 12:00 – 3900 р., с 12:00 до 00:00 –4500 р. 
Пятница с 17:00, выходные/праздничные дни - 4900 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 90 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
АВАНГАРД,Премиум (циклорама),"Будние дни с 00:00 до 12:00 – 3200 р., с 12:00 до 00:00 –3600 р. 
Пятница с 17:00, выходные/праздничные дни - 4100 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 98 кв. м
▪︎ Потолки — 5 метров ▪︎ Циклорама - 
▪︎ Profoto D1 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
МАНУФАКТУРА,Премиум (циклорама),"Будние дни с 00:00 до 12:00 – 3800 р., с 12:00 до 00:00 –4200 р. 
Пятница с 17:00, выходные/праздничные дни - 4800 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 124 кв. м
▪︎ Потолки — 5 метров  ▪︎ Циклорама - 
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
ХРОМ,Премиум (циклорама),"Будние дни с 00:00 до 12:00 – 3500 р., с 12:00 до 00:00 –3900 р. 
Пятница с 17:00, выходные/праздничные дни - 4400 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 110 кв. м
▪︎ Потолки — 5 метров ▪︎ Циклорама - 
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
ДИОД,Специализированная,"Будние дни с 00:00 до 12:00 – 3400 р., с 12:00 до 00:00 –3900 р. 
Пятница с 17:00, выходные/праздничные дни - 4300 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Гримерный стол
▪︎ Отсутствие проходной системы
"
ПОДКАСТНАЯ,Специализированная,"Будние дни с 00:00 до 12:00 – 3000 р., с 12:00 до 00:00 –3400 р. 
Пятница с 17:00, выходные/праздничные дни - 3800 р.
▪︎ Минимальное время брони — 1 час
▪︎ Площадь — 50 кв. м
▪︎ Потолки — 5 метров
▪︎ Profoto D2 500 — 2 источника
▪︎ Отсутствие проходной системы
"
АМСТЕРДАМ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
БИСТРО,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
БРУКЛИН,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
КИОТО,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
ЛОНДОН,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
МАРРАКЕШ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
ОСТЕРИЯ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
САНТОРИНИ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
СИЦИЛИЯ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 2500 р., с 12:00 до 00:00 –3000 р. 
Пятница с 17:00, выходные/праздничные дни - 3500 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"
ШАНХАЙ,Студия в общей зоне,"Будние дни с 00:00 до 12:00 – 3000 р., с 12:00 до 00:00 –3500 р. 
Пятница с 17:00, выходные/праздничные дни - 4000 р.
▪︎ Минимальное время брони — 1 час
▪︎ Потолки — 5 метров                                                                                                             ▪︎ Не изолированы полностью 
"