Категория,Название зала,"Площадь, кв.м",Мин. брони,Цена будни/вых 00:00–12:00,Цена будни 12:00–00:00,Цена вых/праздники,Потолки,Свет,Циклорама,Изоляция,Доступность
Эксклюзив,ЗАЛ ЧАЙКОВСКИЙ,98,2 часа,5000 ₽,5800 ₽,6400 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Эксклюзив,НИАГАРА,98,2 часа,5500 ₽,6200 ₽,6800 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Эксклюзив,ОАЗИС,113,2 часа,4200 ₽,4800 ₽,5300 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Премиум,АФРОДИТА,99,1 час,4200 ₽,4800 ₽,5500 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Премиум,МУЛЕН РУЖ,60,1 час,4100 ₽,4600 ₽,5200 ₽,5 м,Profoto D1 500 ×2,—,Полная,—
Премиум,ЛОФТ РУМ,92,1 час,4000 ₽,4500 ₽,5000 ₽,5 м,Profoto D2 500 ×2,—,Полная,25 ноября
Премиум,2 ЛИКА,68,1 час,3900 ₽,4500 ₽,4900 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Премиум,РАЙ,86,1 час,3900 ₽,4500 ₽,4900 ₽,5 м,Profoto D1 500 ×2,—,Полная,20 ноября
Премиум,САТУРН,90,1 час,3900 ₽,4500 ₽,4900 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Премиум,КРИПТОН,88,1 час,3900 ₽,4400 ₽,4800 ₽,5 м,Profoto D2 500 ×2,—,Полная,5 декабря
Премиум,ПЬЕР,68,1 час,3800 ₽,4200 ₽,4800 ₽,5 м,Profoto D2 500 ×2,—,Полная,20 ноября
Премиум (циклорама),МАНУФАКТУРА,124,1 час,3800 ₽,4200 ₽,4800 ₽,5 м,Profoto D2 500 ×2,"угловая 6,6×6 м",Полная,20 ноября
Премиум (циклорама),ХРОМ,110,1 час,3500 ₽,3900 ₽,4400 ₽,5 м,Profoto D2 500 ×2,"6×8,6×6 м",Полная,5 декабря
Премиум (циклорама),АВАНГАРД,98,1 час,3200 ₽,3600 ₽,4100 ₽,5 м,Profoto D1 500 ×2,"6×8,7×6 м",Полная,5 декабря
Специализированная,ДИОД,—,1 час,3400 ₽,3900 ₽,4300 ₽,5 м,Profoto D2 500 ×2,—,Полная,—
Специализированная,ПОДКАСТНАЯ,50,1 час,3000 ₽,3400 ₽,3800 ₽,5 м,Profoto D2 500 ×2,—,Полная + шумоизоляция,—
Общая зона,ШАНХАЙ,—,1 час,3000 ₽,3500 ₽,4000 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,АМСТЕРДАМ,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Полная,20 ноября
Общая зона,БИСТРО,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,БРУКЛИН,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,КИОТО,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,ЛОНДОН,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,МАРАКЕШ,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,ОСТЕРИЯ,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,САНТОРИНИ,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября
Общая зона,СИЦИЛИЯ,—,1 час,2500 ₽,3000 ₽,3500 ₽,5 м,—,—,Не полная,20 ноября